stimulus,stable,catch
mass-tower_00629_1101010001~kappa-1.0_cb-0,False,False
mass-tower_00629_1101010001~kappa-1.0_cb-1,False,False
mass-tower_00629_1101010001~kappa--1.0_cb-0,True,False
mass-tower_00629_1101010001~kappa--1.0_cb-1,True,False
mass-tower_00524_1011001010~kappa-1.0_cb-0,True,False
mass-tower_00524_1011001010~kappa-1.0_cb-1,True,False
mass-tower_00524_1011001010~kappa--1.0_cb-0,False,False
mass-tower_00524_1011001010~kappa--1.0_cb-1,False,False
mass-tower_00388_0011101001~kappa-1.0_cb-0,False,False
mass-tower_00388_0011101001~kappa-1.0_cb-1,False,False
mass-tower_00388_0011101001~kappa--1.0_cb-0,False,False
mass-tower_00388_0011101001~kappa--1.0_cb-1,False,False
mass-tower_00013_0110110010~kappa-1.0_cb-0,True,False
mass-tower_00013_0110110010~kappa-1.0_cb-1,True,False
mass-tower_00013_0110110010~kappa--1.0_cb-0,False,False
mass-tower_00013_0110110010~kappa--1.0_cb-1,False,False
mass-tower_00418_0010001111~kappa-1.0_cb-0,False,False
mass-tower_00418_0010001111~kappa-1.0_cb-1,False,False
mass-tower_00418_0010001111~kappa--1.0_cb-0,True,False
mass-tower_00418_0010001111~kappa--1.0_cb-1,True,False
mass-tower_00075_0000011111~kappa-1.0_cb-0,False,False
mass-tower_00075_0000011111~kappa-1.0_cb-1,False,False
mass-tower_00075_0000011111~kappa--1.0_cb-0,True,False
mass-tower_00075_0000011111~kappa--1.0_cb-1,True,False
mass-tower_00086_1001001110~kappa-1.0_cb-0,False,False
mass-tower_00086_1001001110~kappa-1.0_cb-1,False,False
mass-tower_00086_1001001110~kappa--1.0_cb-0,False,False
mass-tower_00086_1001001110~kappa--1.0_cb-1,False,False
mass-tower_00118_0100001111~kappa-1.0_cb-0,False,False
mass-tower_00118_0100001111~kappa-1.0_cb-1,False,False
mass-tower_00118_0100001111~kappa--1.0_cb-0,True,False
mass-tower_00118_0100001111~kappa--1.0_cb-1,True,False
mass-tower_00495_1011100010~kappa-1.0_cb-0,True,False
mass-tower_00495_1011100010~kappa-1.0_cb-1,True,False
mass-tower_00495_1011100010~kappa--1.0_cb-0,False,False
mass-tower_00495_1011100010~kappa--1.0_cb-1,False,False
mass-tower_00057_0111000101~kappa-1.0_cb-0,False,False
mass-tower_00057_0111000101~kappa-1.0_cb-1,False,False
mass-tower_00057_0111000101~kappa--1.0_cb-0,True,False
mass-tower_00057_0111000101~kappa--1.0_cb-1,True,False
mass-tower_00328_1110011000~kappa-1.0_cb-0,True,False
mass-tower_00328_1110011000~kappa-1.0_cb-1,True,False
mass-tower_00328_1110011000~kappa--1.0_cb-0,False,False
mass-tower_00328_1110011000~kappa--1.0_cb-1,False,False
mass-tower_00309_0001110101~kappa-1.0_cb-0,False,False
mass-tower_00309_0001110101~kappa-1.0_cb-1,False,False
mass-tower_00309_0001110101~kappa--1.0_cb-0,True,False
mass-tower_00309_0001110101~kappa--1.0_cb-1,True,False
mass-tower_00304_0100110110~kappa-1.0_cb-0,True,False
mass-tower_00304_0100110110~kappa-1.0_cb-1,True,False
mass-tower_00304_0100110110~kappa--1.0_cb-0,False,False
mass-tower_00304_0100110110~kappa--1.0_cb-1,False,False
mass-tower_00767_1011001001~kappa-1.0_cb-0,False,False
mass-tower_00767_1011001001~kappa-1.0_cb-1,False,False
mass-tower_00767_1011001001~kappa--1.0_cb-0,True,False
mass-tower_00767_1011001001~kappa--1.0_cb-1,True,False
mass-tower_00134_1000111001~kappa-1.0_cb-0,True,False
mass-tower_00134_1000111001~kappa-1.0_cb-1,True,False
mass-tower_00134_1000111001~kappa--1.0_cb-0,False,False
mass-tower_00134_1000111001~kappa--1.0_cb-1,False,False
mass-tower_00035_0110101001~kappa-1.0_cb-0,False,False
mass-tower_00035_0110101001~kappa-1.0_cb-1,False,False
mass-tower_00035_0110101001~kappa--1.0_cb-0,True,False
mass-tower_00035_0110101001~kappa--1.0_cb-1,True,False
mass-tower_00200_1111100000~kappa-1.0_cb-0,True,False
mass-tower_00200_1111100000~kappa-1.0_cb-1,True,False
mass-tower_00200_1111100000~kappa--1.0_cb-0,True,False
mass-tower_00200_1111100000~kappa--1.0_cb-1,True,False
mass-tower_00174_1001101100~kappa-1.0_cb-0,True,False
mass-tower_00174_1001101100~kappa-1.0_cb-1,True,False
mass-tower_00174_1001101100~kappa--1.0_cb-0,False,False
mass-tower_00174_1001101100~kappa--1.0_cb-1,False,False
mass-tower_00114_1000111001~kappa-1.0_cb-0,True,False
mass-tower_00114_1000111001~kappa-1.0_cb-1,True,False
mass-tower_00114_1000111001~kappa--1.0_cb-0,False,False
mass-tower_00114_1000111001~kappa--1.0_cb-1,False,False
mass-tower_00313_0011110100~kappa-1.0_cb-0,True,False
mass-tower_00313_0011110100~kappa-1.0_cb-1,True,False
mass-tower_00313_0011110100~kappa--1.0_cb-0,True,False
mass-tower_00313_0011110100~kappa--1.0_cb-1,True,False
stability01654,False,False
stability01967,False,False
stability01491,False,False
stability01178,True,False
stability01023,True,False
stability01893,True,False
